date,base_mom_weight,vol_adj_mom_weight,dual_mom_signal,meta_mom_weight,gold_boost,final_mom_weight,final_gold_weight,momentum_drawdown,dd_adj_mom_weight,dd_adj_gold_weight,created_at
2005-04-01,0.1,0.1,0,0.05,0.0,0.05,0.95,0.0,0.05,0.95,2026-04-01 16:35:36
2005-04-04,0.1,0.1,0,0.05,0.0,0.05,0.95,0.0,0.05,0.95,2026-04-01 16:35:36
2005-04-05,0.1,0.1,0,0.05,0.0,0.05,0.95,-0.003248,0.05,0.95,2026-04-01 16:35:36
2005-04-06,0.1,0.1,0,0.05,0.0,0.05,0.95,0.0,0.05,0.95,2026-04-01 16:35:36
2005-04-07,0.1,0.1,0,0.05,0.0,0.05,0.95,-0.005347,0.05,0.95,2026-04-01 16:35:36
2005-04-08,0.1,0.1,0,0.05,0.0,0.05,0.95,-0.01306,0.05,0.95,2026-04-01 16:35:36
2005-04-11,0.1,0.1,0,0.05,0.0,0.05,0.95,-0.024629,0.05,0.95,2026-04-01 16:35:36
2005-04-12,0.1,0.1,0,0.05,0.0,0.05,0.95,-0.017656,0.05,0.95,2026-04-01 16:35:36
2005-04-13,0.1,0.1,0,0.05,0.0,0.05,0.95,-0.01527,0.05,0.95,2026-04-01 16:35:36
2005-04-15,0.1,0.1,0,0.05,0.0,0.05,0.95,-0.03952,0.05,0.95,2026-04-01 16:35:36
2005-04-18,0.1,0.1,0,0.05,0.0,0.05,0.95,-0.052249,0.05,0.95,2026-04-01 16:35:36
2005-04-19,0.1,0.1,0,0.05,0.0,0.05,0.95,-0.049142,0.05,0.95,2026-04-01 16:35:36
2005-04-20,0.1,0.1,0,0.05,0.0,0.05,0.95,-0.038702,0.05,0.95,2026-04-01 16:35:36
2005-04-21,0.1,0.1,0,0.05,0.0,0.05,0.95,-0.02164,0.05,0.95,2026-04-01 16:35:36
2005-04-22,0.1,0.1,0,0.05,0.0,0.05,0.95,-0.001909,0.05,0.95,2026-04-01 16:35:36
2005-04-25,0.1,0.1,0,0.05,0.0,0.05,0.95,0.0,0.05,0.95,2026-04-01 16:35:36
2005-04-26,0.1,0.1,0,0.05,0.0,0.05,0.95,-0.004277,0.05,0.95,2026-04-01 16:35:36
2005-04-27,0.1,0.1,0,0.05,0.0,0.05,0.95,-0.017507,0.05,0.95,2026-04-01 16:35:36
2005-04-28,0.1,0.1,0,0.05,0.0,0.05,0.95,-0.020919,0.05,0.95,2026-04-01 16:35:36
2005-04-29,0.1,0.1,0,0.05,0.0,0.05,0.95,-0.035608,0.05,0.95,2026-04-01 16:35:36
2005-05-02,0.1,0.076378,0,0.038189,0.0,0.038189,0.961811,-0.045086,0.038189,0.961811,2026-04-01 16:35:36
2005-05-03,0.1,0.08014,0,0.04007,0.0,0.04007,0.95993,-0.041625,0.04007,0.95993,2026-04-01 16:35:36
2005-05-04,0.1,0.07838,0,0.03919,0.0,0.03919,0.96081,-0.031982,0.03919,0.96081,2026-04-01 16:35:36
2005-05-05,0.1,0.080845,0,0.040422,0.0,0.040422,0.959578,-0.02543,0.040422,0.959578,2026-04-01 16:35:36
2005-05-06,0.1,0.080886,0,0.040443,0.0,0.040443,0.959557,-0.022309,0.040443,0.959557,2026-04-01 16:35:36
2005-05-09,0.1,0.078236,0,0.039118,0.0,0.039118,0.960882,-0.007388,0.039118,0.960882,2026-04-01 16:35:36
2005-05-10,0.1,0.080134,0,0.040067,0.0,0.040067,0.959933,-0.011519,0.040067,0.959933,2026-04-01 16:35:36
2005-05-11,0.1,0.080695,0,0.040348,0.0,0.040348,0.959652,-0.008661,0.040348,0.959652,2026-04-01 16:35:36
2005-05-12,0.1,0.079494,0,0.039747,0.0,0.039747,0.960253,0.0,0.039747,0.960253,2026-04-01 16:35:36
2005-05-13,0.1,0.091851,0,0.045926,0.0,0.045926,0.954074,0.0,0.045926,0.954074,2026-04-01 16:35:36
2005-05-16,0.1,0.096544,0,0.048272,0.0,0.048272,0.951728,0.0,0.048272,0.951728,2026-04-01 16:35:36
2005-05-17,0.1,0.092552,0,0.046276,0.0,0.046276,0.953724,-0.00917,0.046276,0.953724,2026-04-01 16:35:36
2005-05-18,0.1,0.093631,0,0.046816,0.0,0.046816,0.953184,-0.00204,0.046816,0.953184,2026-04-01 16:35:36
2005-05-19,0.1,0.099506,0,0.049753,0.0,0.049753,0.950247,0.0,0.049753,0.950247,2026-04-01 16:35:36
2005-05-20,0.1,0.108519,0,0.054259,0.0,0.054259,0.945741,-0.006596,0.054259,0.945741,2026-04-01 16:35:36
2005-05-23,0.1,0.107333,0,0.053666,0.0,0.053666,0.946334,0.0,0.053666,0.946334,2026-04-01 16:35:36
2005-05-24,0.1,0.108063,0,0.054031,0.0,0.054031,0.945969,0.0,0.054031,0.945969,2026-04-01 16:35:36
2005-05-25,0.1,0.117999,0,0.059,0.0,0.059,0.941,0.0,0.059,0.941,2026-04-01 16:35:36
2005-05-26,0.1,0.1192,0,0.0596,0.0,0.0596,0.9404,-0.000904,0.0596,0.9404,2026-04-01 16:35:36
2005-05-27,0.1,0.134188,0,0.067094,0.0,0.067094,0.932906,-0.006253,0.067094,0.932906,2026-04-01 16:35:36
2005-05-30,0.1,0.138505,0,0.069252,0.0,0.069252,0.930748,-0.01358,0.069252,0.930748,2026-04-01 16:35:36
2005-05-31,0.1,0.138232,0,0.069116,0.0,0.069116,0.930884,-0.008476,0.069116,0.930884,2026-04-01 16:35:36
2005-06-01,0.1,0.141442,0,0.070721,0.0,0.070721,0.929279,-0.002646,0.070721,0.929279,2026-04-01 16:35:36
2005-06-02,0.1,0.133878,0,0.066939,0.0,0.066939,0.933061,-0.010604,0.066939,0.933061,2026-04-01 16:35:36
2005-06-03,0.1,0.133318,0,0.066659,0.0,0.066659,0.933341,-0.005311,0.066659,0.933341,2026-04-01 16:35:36
2005-06-04,0.1,0.147057,0,0.073528,0.0,0.073528,0.926472,-0.00501,0.073528,0.926472,2026-04-01 16:35:36
2005-06-06,0.1,0.15053,0,0.075265,0.0,0.075265,0.924735,-0.003842,0.075265,0.924735,2026-04-01 16:35:36
2005-06-07,0.1,0.150419,0,0.07521,0.0,0.07521,0.92479,-0.003334,0.07521,0.92479,2026-04-01 16:35:36
2005-06-08,0.1,0.157005,0,0.078503,0.0,0.078503,0.921497,-0.004276,0.078503,0.921497,2026-04-01 16:35:36
2005-06-09,0.1,0.159027,0,0.079513,0.0,0.079513,0.920487,0.0,0.079513,0.920487,2026-04-01 16:35:36
