date,nifty,vix,gsec_10y,gold_price,usd_inr,mc150m50,created_at
2005-04-01,2067.65,,6.678,,43.675,,2026-04-01 16:35:36
2005-04-04,2063.4,,6.75,,43.75,,2026-04-01 16:35:36
2005-04-05,2052.55,,6.73,,43.76,,2026-04-01 16:35:36
2005-04-06,2069.3,,6.822,,43.72,,2026-04-01 16:35:36
2005-04-07,2052.85,,6.975,,43.695,,2026-04-01 16:35:36
2005-04-08,2031.2,,7.015,,43.68,,2026-04-01 16:35:36
2005-04-11,2008.2,,7.002,,43.645,,2026-04-01 16:35:36
2005-04-12,2024.95,,7.002,,43.695,,2026-04-01 16:35:36
2005-04-13,2025.45,,7.002,,43.73,,2026-04-01 16:35:36
2005-04-15,1956.3,,6.992,,43.77,,2026-04-01 16:35:36
2005-04-18,1927.8,,6.992,,43.695,,2026-04-01 16:35:36
2005-04-19,1909.4,,7.071,,43.75,,2026-04-01 16:35:36
2005-04-20,1929.7,,7.082,,43.735,,2026-04-01 16:35:36
2005-04-21,1948.55,,7.082,,43.725,,2026-04-01 16:35:36
2005-04-22,1967.35,,7.082,,43.66,,2026-04-01 16:35:36
2005-04-25,1970.95,,7.123,,43.67,,2026-04-01 16:35:36
2005-04-26,1957.1,,7.123,,43.675,,2026-04-01 16:35:36
2005-04-27,1935.4,,7.11,,43.71,,2026-04-01 16:35:36
2005-04-28,1941.3,,7.225,,43.65,,2026-04-01 16:35:36
2005-04-29,1902.5,,7.239,,43.43,,2026-04-01 16:35:36
2005-05-02,1916.75,,7.301,,43.575,,2026-04-01 16:35:36
2005-05-03,1920.7,,7.239,,43.59,,2026-04-01 16:35:36
2005-05-04,1942.6,,7.232,,43.51,,2026-04-01 16:35:36
2005-05-05,1963.3,,7.239,,43.405,,2026-04-01 16:35:36
2005-05-06,1977.5,,7.26,,43.455,,2026-04-01 16:35:36
2005-05-09,2000.75,,7.252,,43.47,,2026-04-01 16:35:36
2005-05-10,1994.3,,7.204,,43.37,,2026-04-01 16:35:36
2005-05-11,1985.95,,7.204,,43.315,,2026-04-01 16:35:36
2005-05-12,1993.15,,7.194,,43.375,,2026-04-01 16:35:36
2005-05-13,1988.3,,7.169,,43.43,,2026-04-01 16:35:36
2005-05-16,2012.6,,7.197,,43.495,,2026-04-01 16:35:36
2005-05-17,1990.8,,7.161,,43.465,,2026-04-01 16:35:36
2005-05-18,1982.75,,7.162,,43.48,,2026-04-01 16:35:36
2005-05-19,1990.85,,7.066,,43.44,,2026-04-01 16:35:36
2005-05-20,1992.4,,7.005,,43.48,,2026-04-01 16:35:36
2005-05-23,2013.9,,7.005,,43.49,,2026-04-01 16:35:36
2005-05-24,2028.6,,6.917,,43.48,,2026-04-01 16:35:36
2005-05-25,2043.85,,6.924,,43.495,,2026-04-01 16:35:36
2005-05-26,2074.7,,6.971,,43.525,,2026-04-01 16:35:36
2005-05-27,2076.4,,6.971,,43.505,,2026-04-01 16:35:36
2005-05-30,2072.4,,7.002,,43.58,,2026-04-01 16:35:36
2005-05-31,2087.55,,6.979,,43.7,,2026-04-01 16:35:36
