date,regime,mom_weight,gold_weight,momentum_return,gold_return,transaction_cost,portfolio_return,portfolio_nav,portfolio_drawdown,benchmark_nav,gold_bh_nav,created_at
2005-05-03,Risk OFF,0.05,0.95,0.00362404,-0.00327869,0.0,-0.00293355,99.70664477,0.0,100.0,100.0,2026-04-01 16:35:37
2005-05-04,Risk OFF,0.05,0.95,0.01006197,-0.00328947,0.0,-0.0026219,99.44522379,-0.0026219,101.00619745,99.67105263,2026-04-01 16:35:37
2005-05-05,Risk OFF,0.05,0.95,0.00676836,0.0,0.0,0.00033842,99.47887785,-0.00228437,101.68984369,99.67105263,2026-04-01 16:35:37
2005-05-06,Risk OFF,0.05,0.95,0.00320184,0.00330033,0.0,0.00329541,99.80670107,0.0,102.01543783,100.0,2026-04-01 16:35:37
2005-05-09,Risk OFF,0.05,0.95,0.01526209,-0.00822368,0.0,-0.0070494,99.10312416,-0.0070494,103.57240666,99.17763158,2026-04-01 16:35:37
2005-05-10,Risk OFF,0.05,0.95,-0.00416214,-0.00331675,0.0,-0.00335902,98.77023488,-0.01038474,103.14132408,98.84868421,2026-04-01 16:35:37
2005-05-11,Risk OFF,0.05,0.95,0.00289125,-0.00166389,0.0,-0.00143614,98.62838738,-0.01180596,103.43953179,98.68421053,2026-04-01 16:35:37
2005-05-12,Risk OFF,0.05,0.95,0.00985487,0.0,0.0,0.00049274,98.67698589,-0.01131903,104.45891529,98.68421053,2026-04-01 16:35:37
2005-05-13,Risk OFF,0.05,0.95,0.00651551,-0.00333333,0.0,-0.00284089,98.39665533,-0.01412777,105.13951861,98.35526316,2026-04-01 16:35:37
2005-05-16,Risk OFF,0.05,0.95,0.01206877,-0.00334448,0.0,-0.00257382,98.14340012,-0.01666522,106.40842285,98.02631579,2026-04-01 16:35:37
2005-05-17,Risk OFF,0.05,0.95,-0.00917003,-0.00167785,0.0,-0.00205246,97.94196461,-0.01868348,105.43265476,97.86184211,2026-04-01 16:35:37
2005-05-18,Risk OFF,0.05,0.95,0.00719611,0.0,0.0,0.00035981,97.97720469,-0.0183304,106.19136009,97.86184211,2026-04-01 16:35:37
2005-05-19,Risk OFF,0.05,0.95,0.00500511,-0.00504202,0.0,-0.00453966,97.53242145,-0.02278684,106.72285955,97.36842105,2026-04-01 16:35:37
2005-05-20,Risk OFF,0.05,0.95,-0.00659589,0.0,0.0,-0.00032979,97.50025578,-0.02310912,106.01892706,97.36842105,2026-04-01 16:35:37
2005-05-23,Risk OFF,0.05,0.95,0.00735723,0.00337838,0.0,0.00357732,97.8490455,-0.01961447,106.79893294,97.69736842,2026-04-01 16:35:37
2005-05-24,Risk OFF,0.05,0.95,0.00500513,0.0,0.0,0.00025026,97.87353285,-0.01936912,107.33347534,97.69736842,2026-04-01 16:35:37
2005-05-25,Risk OFF,0.05,0.95,0.00345874,-0.0016835,0.0,-0.00142639,97.73392704,-0.02076788,107.70471351,97.53289474,2026-04-01 16:35:37
2005-05-26,Risk OFF,0.05,0.95,-0.00090408,-0.00168634,0.0,-0.00164723,97.57293701,-0.0223809,107.60733956,97.36842105,2026-04-01 16:35:37
2005-05-27,Risk OFF,0.05,0.95,-0.005354,-0.00675676,0.0,-0.00668662,96.92050398,-0.02891787,107.03121038,96.71052632,2026-04-01 16:35:37
2005-05-30,Risk OFF,0.05,0.95,-0.00737294,0.0,0.0,-0.00036865,96.88477453,-0.02927586,106.24207569,96.71052632,2026-04-01 16:35:37
2005-05-31,Risk OFF,0.05,0.95,0.00517457,0.00170068,0.0,0.00187437,97.06637291,-0.02745635,106.79183276,96.875,2026-04-01 16:35:37
2005-06-01,Risk OFF,0.06911618,0.93088382,0.00587928,0.01358234,3.823e-05,0.0130117,98.32937185,-0.0148019,107.41969185,98.19078947,2026-04-01 16:35:37
2005-06-02,Risk OFF,0.06911618,0.93088382,-0.00797892,-0.01675042,0.0,-0.01614417,96.74192609,-0.03070711,106.56259826,96.54605263,2026-04-01 16:35:37
2005-06-03,Risk OFF,0.06911618,0.93088382,0.00534938,0.0,0.0,0.00036973,96.77769433,-0.03034873,107.13264157,96.54605263,2026-04-01 16:35:37
2005-06-04,Risk OFF,0.06911618,0.93088382,0.00030297,0.0,0.0,2.094e-05,96.77972086,-0.03032843,107.16509955,96.54605263,2026-04-01 16:35:37
2005-06-06,Risk OFF,0.06911618,0.93088382,0.00117365,0.00170358,0.0,0.00166695,96.94104793,-0.02871203,107.29087424,96.71052632,2026-04-01 16:35:37
2005-06-07,Risk OFF,0.06911618,0.93088382,0.00051051,0.00170068,0.0,0.00161842,97.09793928,-0.02714008,107.34564708,96.875,2026-04-01 16:35:37
2005-06-08,Risk OFF,0.06911618,0.93088382,-0.0009449,-0.00169779,0.0,-0.00164576,96.93813976,-0.02874117,107.24421589,96.71052632,2026-04-01 16:35:37
2005-06-09,Risk OFF,0.06911618,0.93088382,0.00444524,0.0,0.0,0.00030724,96.96792286,-0.02844276,107.7209425,96.71052632,2026-04-01 16:35:37
2005-06-10,Risk OFF,0.06911618,0.93088382,-0.00263651,0.0,0.0,-0.00018223,96.95025284,-0.0286198,107.43693516,96.71052632,2026-04-01 16:35:37
2005-06-13,Risk OFF,0.06911618,0.93088382,-0.00109516,0.00510204,0.0,0.00467371,97.40337062,-0.02407985,107.31927497,97.20394737,2026-04-01 16:35:37
2005-06-14,Risk OFF,0.06911618,0.93088382,0.0034781,0.00169205,0.0,0.00181549,97.58020568,-0.02230808,107.69254176,97.36842105,2026-04-01 16:35:37
2005-06-15,Risk OFF,0.06911618,0.93088382,0.00515197,0.00337838,0.0,0.00350096,97.92183029,-0.01888521,108.2473704,97.69736842,2026-04-01 16:35:37
2005-06-16,Risk OFF,0.06911618,0.93088382,-0.01339955,0.0016835,0.0,0.00064102,97.98460002,-0.0182563,106.79690432,97.86184211,2026-04-01 16:35:37
2005-06-17,Risk OFF,0.06911618,0.93088382,-0.01596543,-0.00336134,0.0,-0.00423249,97.56988112,-0.02241152,105.09184595,97.53289474,2026-04-01 16:35:37
2005-06-20,Risk OFF,0.06911618,0.93088382,-0.00765378,0.00505902,0.0,0.00418036,97.97775854,-0.01832485,104.28749658,98.02631579,2026-04-01 16:35:37
2005-06-21,Risk OFF,0.06911618,0.93088382,0.003054,0.0,0.0,0.00021108,97.99843976,-0.01811763,104.60599053,98.02631579,2026-04-01 16:35:37
2005-06-22,Risk OFF,0.06911618,0.93088382,9.696e-05,-0.00167785,0.0,-0.00155518,97.84603418,-0.01964464,104.61613365,97.86184211,2026-04-01 16:35:37
2005-06-23,Risk OFF,0.06911618,0.93088382,0.00474113,0.0,0.0,0.00032769,97.87809721,-0.01932339,105.11213219,97.86184211,2026-04-01 16:35:37
2005-06-24,Risk OFF,0.06911618,0.93088382,0.01051829,0.00504202,0.0,0.00542052,98.408647,-0.01400762,106.2177322,98.35526316,2026-04-01 16:35:37
2005-06-27,Risk OFF,0.06911618,0.93088382,-0.00400118,0.00334448,0.0,0.00283678,98.68781042,-0.01121058,105.7927355,98.68421053,2026-04-01 16:35:37
